"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F(G((a) & (F(b))))","ltl3tela","ok",0,0.00731456,1,3,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: parity max even 2 Acceptance: 2 Fin(1) & Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [0&1] 0 {0} [!0] 0 {1} --END--"
"F(G((a) & (F(b))))","ltl2tgba","ok",0,0.00453861,1,4,4,2,1,0,0,1,"HOA: v1 name: ""G(Fb & FGa)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: parity max even 2 Acceptance: 2 Fin(1) & Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [0&1] 0 {0} [!0&!1] 0 {1} [!0&1] 0 {0 1} --END--"
"F(G(a))","ltl3ba","ok",0,0.00644103,2,3,4,1,2,1,1,0,"HOA: v1 name: ""TGBA for <>([](a))"" States: 2 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""FG(a)"" [0] 1 {0} [t] 0 State: 1 ""G(a)"" [0] 1 {0} --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.0042274,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela","ok",0,0.0033355,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba","ok",0,0.00384602,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"G((F(b)) & (F(a)) & (F(G(!(a)))))","ltl3ba","ok",0,0.0076209,1,0,0,0,1,0,0,0,"HOA: v1 name: ""TGBA for []((<>(b)) && (<>(a)) && (<>([](!(a)))))"" States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 --END--"
"G((F(b)) & (F(a)) & (F(G(!(a)))))","ltl3tela_alt","ok",0,0.00480332,1,0,0,0,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 --END--"
"G((F(b)) & (F(a)) & (F(G(!(a)))))","ltl3tela","ok",0,0.00887568,1,0,0,0,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 --END--"
"G((F(b)) & (F(a)) & (F(G(!(a)))))","ltl2tgba","ok",0,0.00525363,1,0,0,0,1,0,0,0,"HOA: v1 name: ""G(Fb & Fa & FG!a)"" States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 --END--"
