"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl2tgba","ok",0,0.00576287,1,8,8,3,1,0,0,1,"HOA: v1 name: ""G(Fa & Fb & FGc)"" States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
"F(G(a))","ltl3ba","ok",0,0.00746301,2,3,4,1,2,1,1,0,"HOA: v1 name: ""TGBA for <>([](a))"" States: 2 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""FG(a)"" [0] 1 {0} [t] 0 State: 1 ""G(a)"" [0] 1 {0} --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.00477665,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela","ok",0,0.0037004,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba","ok",0,0.00447897,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F((G((a) & (b))) | (G((b) & (c))))","ltl3ba","ok",0,0.00801637,3,5,16,1,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([]((a) && (b))) || ([]((b) && (c))))"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G((a) && (b)) || G((b) && (c)))"" [0&1] 2 {0} [1&2] 1 {0} [t] 0 State: 1 ""G((b) && (c))"" [1&2] 1 {0} State: 2 ""G((a) && (b))"" [0&1] 2 {0} --END--"
"F((G((a) & (b))) | (G((b) & (c))))","ltl3tela_alt","ok",0,0.00519879,1,3,9,3,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 [!0&!2 | !1] 0 {0} [1&2] 0 {1} [0&1] 0 {2} --END--"
"F((G((a) & (b))) | (G((b) & (c))))","ltl3tela","ok",0,0.00907186,1,4,8,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1&2] 0 {0} [!0&!2 | !1] 0 {0 1} [0&1&!2] 0 {1} [0&1&2] 0 --END--"
"F((G((a) & (b))) | (G((b) & (c))))","ltl2tgba","ok",0,0.0056332,1,4,8,2,1,0,0,1,"HOA: v1 name: ""F(G(a & b) | G(b & c))"" States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1&2] 0 [!0&1&2] 0 {0} [0&1&!2] 0 {1} [!0&!2 | !1] 0 {0 1} --END--"
"F((G(a)) | (G(!(a))))","ltl3ba","ok",0,0.00821883,3,5,6,1,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([](a)) || ([](!(a))))"" States: 3 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(a) || G!((a)))"" [0] 2 {0} [!0] 1 {0} [t] 0 State: 1 ""G!((a))"" [!0] 1 {0} State: 2 ""G(a)"" [0] 2 {0} --END--"
