"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F(G(((F(b)) & (X(G(!(a))))) | ((X(F(a))) & (G(!(b))))))","fmerg","ok",0,0.00294109,6,11,26,1,6,1,1,0,"HOA: v1 name: ""SLAA for FG((Fb & XG!a) | (XFa & G!b))"" States: 6 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""FG((Fb & XG!a) | (XFa & G!b))"" [t] 0 {0} [0] 0&1 [!0] 0&1&2 [!0] 0&3&4 State: 1 ""G!a"" [!1] 1 State: 2 ""Fb"" [0] 5 [!0] 2 {0} State: 3 ""Fa"" [1] 5 [!1] 3 {0} State: 4 ""G!b"" [!0] 4 State: 5 ""t"" [t] 5 --END--"
"F(G(((F(b)) & (X(G(!(a))))) | ((X(F(a))) & (G(!(b))))))","basic","ok",0,0.0032786,7,14,32,1,7,2,1,0,"HOA: v1 name: ""SLAA for FG((Fb & XG!a) | (XFa & G!b))"" States: 7 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""FG((Fb & XG!a) | (XFa & G!b))"" [0] 1&2 [!0] 1&2&3 [!0] 1&4&5 [t] 0 {0} State: 1 ""G((Fb & XG!a) | (XFa & G!b))"" [0] 1&2 [!0] 1&2&3 [!0] 1&4&5 State: 2 ""G!a"" [!1] 2 State: 3 ""Fb"" [0] 6 [!0] 3 {0} State: 4 ""Fa"" [1] 6 [!1] 4 {0} State: 5 ""G!b"" [!0] 5 State: 6 ""t"" [t] 6 --END--"
"F(G(((F(b)) & (X(G(!(a))))) | ((X(F(a))) & (G(!(b))))))","fgmerg","ok",0,0.00266404,6,11,26,3,6,1,1,0,"HOA: v1 name: ""SLAA for FG((Fb & XG!a) | (XFa & G!b))"" States: 6 Start: 0 AP: 2 ""b"" ""a"" Acceptance: 3 Fin(0) & Fin(2) & Fin(1) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""FG((Fb & XG!a) | (XFa & G!b))"" [t] 0 {0} [0] 0&1 [!0] 0&1&2 [!0] 0&3&4 State: 1 ""G!a"" [!1] 1 State: 2 ""Fb"" [0] 5 [!0] 2 {1} State: 3 ""Fa"" [1] 5 [!1] 3 {2} State: 4 ""G!b"" [!0] 4 State: 5 ""t"" [t] 5 --END--"
"F(G(((F(b)) & (X(G(!(a))))) | ((X(F(a))) & (G(!(b))))))","ltl3ba","ok",0,0.0100346,7,14,32,1,7,2,1,0,"HOA: v1 name: ""VWAA for <>([](((<>(b)) && (X([](!(a))))) || ((X(<>(a))) && ([](!(b))))))"" States: 7 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""FG((F(b) && X (G!((a)))) || (X (F(a)) && G!((b))))"" {0} [0] 1&4 [!0] 1&4&5 [!0] 1&2&3 [t] 0 State: 1 ""G((F(b) && X (G!((a)))) || (X (F(a)) && G!((b))))"" [0] 1&4 [!0] 1&4&5 [!0] 1&2&3 State: 2 ""G!((b))"" [!0] 2 State: 3 ""F(a)"" {0} [1] 6 [!1] 3 State: 4 ""G!((a))"" [!1] 4 State: 5 ""F(b)"" {0} [0] 6 [!0] 5 State: 6 ""t"" [t] 6 --END--"
"(a) & (G(((a) R (F(b))) U (c)))","fmerg","ok",0,0.00271077,6,20,44,1,6,0,0,0,"HOA: v1 name: ""SLAA for a & G((a R Fb) U c)"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""a & G((a R Fb) U c)"" [0&2] 1 [0&1&!2] 1&2 [0&!1&!2] 1&2&3 State: 1 ""G((a R Fb) U c)"" [2] 1 [0&1&!2] 1&2 [!0&1&!2] 1&2&4 [0&!1&!2] 1&2&3 [!0&!1&!2] 1&2&3&4 State: 2 ""(a R Fb) U c"" [2] 5 [0&1&!2] 2 {0} [!0&1&!2] 2&4 {0} [0&!1&!2] 2&3 {0} [!0&!1&!2] 2&3&4 {0} State: 3 ""Fb"" [1] 5 [!1] 3 {0} State: 4 ""a R Fb"" [0&1] 5 [!0&1] 4 [0&!1] 3 [!0&!1] 3&4 State: 5 ""t"" [t] 5 --END--"
"(a) & (G(((a) R (F(b))) U (c)))","basic","ok",0,0.00253912,6,20,44,1,6,0,0,0,"HOA: v1 name: ""SLAA for a & G((a R Fb) U c)"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""a & G((a R Fb) U c)"" [0&2] 1 [0&1&!2] 1&2 [0&!1&!2] 1&2&3 State: 1 ""G((a R Fb) U c)"" [2] 1 [0&1&!2] 1&2 [!0&1&!2] 1&2&4 [0&!1&!2] 1&2&3 [!0&!1&!2] 1&2&3&4 State: 2 ""(a R Fb) U c"" [2] 5 [0&1&!2] 2 {0} [!0&1&!2] 2&4 {0} [0&!1&!2] 2&3 {0} [!0&!1&!2] 2&3&4 {0} State: 3 ""Fb"" [1] 5 [!1] 3 {0} State: 4 ""a R Fb"" [0&1] 5 [!0&1] 4 [0&!1] 3 [!0&!1] 3&4 State: 5 ""t"" [t] 5 --END--"
"(a) & (G(((a) R (F(b))) U (c)))","fgmerg","ok",0,0.00257801,5,15,36,3,5,0,0,0,"HOA: v1 name: ""SLAA for a & G((a R Fb) U c)"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 3 (Inf(2) | Fin(0)) & Fin(1) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""a & G((a R Fb) U c)"" [0&2] 1 [0&1&!2] 1 [0&!1&!2] 1&2 State: 1 ""G((a R Fb) U c)"" [2] 1 {2} [0&1&!2] 1 {0} [!0&1&!2] 1&3 {0} [0&!1&!2] 1&2 {0} [!0&!1&!2] 1&2&3 {0} State: 2 ""Fb"" [1] 4 [!1] 2 {1} State: 3 ""a R Fb"" [0&1] 4 [!0&1] 3 [0&!1] 2 [!0&!1] 2&3 State: 4 ""t"" [t] 4 --END--"
"(a) & (G(((a) R (F(b))) U (c)))","ltl3ba","ok",0,0.0102206,6,20,44,1,6,0,0,0,"HOA: v1 name: ""VWAA for (a) && ([](((a) V (<>(b))) U (c)))"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc deterministic univ-branch very-weak --BODY-- State: 0 ""((a) && G(((a) R F(b)) U (c)))"" [0&2] 1 [0&1&!2] 1&2 [0&!1&!2] 1&2&4 State: 1 ""G(((a) R F(b)) U (c))"" [2] 1 [0&1&!2] 1&2 [0&!1&!2] 1&2&4 [!0&1&!2] 1&2&3 [!0&!1&!2] 1&2&3&4 State: 2 ""(((a) R F(b)) U (c))"" {0} [2] 5 [0&1&!2] 2 [0&!1&!2] 2&4 [!0&1&!2] 2&3 [!0&!1&!2] 2&3&4 State: 3 ""((a) R F(b))"" [0&1] 5 [0&!1] 4 [!0&1] 3 [!0&!1] 3&4 State: 4 ""F(b)"" {0} [1] 5 [!1] 4 State: 5 ""t"" [t] 5 --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","fmerg","ok",0,0.00266884,5,10,22,1,5,1,1,0,"HOA: v1 name: ""SLAA for G(a | b) | GF(a | G!b)"" States: 5 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""G(a | b) | GF(a | G!b)"" [0 | 1] 1 [0] 2 [!0] 2&3 State: 1 ""G(a | b)"" [0 | 1] 1 State: 2 ""GF(a | G!b)"" [0] 2 [!0] 2&3 State: 3 ""F(a | G!b)"" [0] 4 [!0&!1] 3 [!0&1] 3 {0} State: 4 ""t"" [t] 4 --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","basic","ok",0,0.00252277,6,13,27,1,6,3,1,0,"HOA: v1 name: ""SLAA for G(a | b) | GF(a | G!b)"" States: 6 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""G(a | b) | GF(a | G!b)"" [0 | 1] 1 [0] 2 [!0&!1] 2&3 [!0] 2&4 State: 1 ""G(a | b)"" [0 | 1] 1 State: 2 ""GF(a | G!b)"" [0] 2 [!0&!1] 2&3 [!0] 2&4 State: 3 ""G!b"" [!1] 3 State: 4 ""F(a | G!b)"" [0] 5 [!0&!1] 3 [!0] 4 {0} State: 5 ""t"" [t] 5 --END--"
