"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","delag","ok",0,0.635181,13,160,160,6,13,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3tela-D1","ok",0,0.0323344,11,31,128,1,11,0,0,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","rabinizer4","ok",0,0.625993,7,41,56,8,1,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba-DG","ok",0,0.0284516,6,31,48,2,2,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","delag","ok",0,0.779318,10,80,80,4,1,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3tela-D1","ok",0,0.0784647,6,31,48,2,2,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","rabinizer4","ok",0,0.59369,6,15,48,5,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl2tgba-DG","ok",0,0.0247913,7,17,56,2,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","delag","ok",0,0.672564,6,48,48,4,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl3tela-D1","ok",0,0.0354151,6,15,48,2,5,0,0,1
"((a) | (X((a) & ((a) W (b))))) M (G(c))","rabinizer4","ok",0,0.660673,3,5,12,1,3,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl2tgba-DG","ok",0,0.00690757,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","delag","ok",0,0.614524,3,12,12,4,3,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl3tela-D1","ok",0,0.0340378,2,3,4,1,2,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","rabinizer4","ok",0,0.717861,15,54,214,2,14,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl2tgba-DG","ok",0,0.0205822,12,39,166,1,11,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","delag","ok",0,0.745922,14,190,190,6,13,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl3tela-D1","ok",0,0.0327745,12,39,166,1,11,0,0,0
"G(F(a))","rabinizer4","ok",0,0.395336,1,2,2,2,1,0,0,1
"G(F(a))","ltl2tgba-DG","ok",0,0.0124733,1,2,2,1,1,0,0,1
"G(F(a))","delag","ok",0,0.370131,1,2,2,1,1,0,0,1
"G(F(a))","ltl3tela-D1","ok",0,0.00481929,1,2,2,1,1,0,0,1
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","rabinizer4","ok",0,0.584262,4,7,13,2,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl2tgba-DG","ok",0,0.0166093,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","delag","ok",0,0.532774,4,13,13,6,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl3tela-D1","ok",0,0.011393,4,7,13,1,4,0,0,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","rabinizer4","ok",0,0.648929,10,38,160,2,8,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl2tgba-DG","ok",0,0.0392064,16,67,256,2,13,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","delag","ok",0,0.839613,23,368,368,4,8,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl3tela-D1","ok",0,0.0792869,7,26,112,3,5,0,0,1
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","rabinizer4","ok",0,0.637892,5,17,46,5,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl2tgba-DG","ok",0,0.00921085,5,17,46,4,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","delag","ok",0,0.765511,5,46,46,4,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl3tela-D1","ok",0,0.059161,5,17,46,3,3,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","rabinizer4","ok",0,0.543556,14,47,104,2,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl2tgba-DG","ok",0,0.022158,14,47,104,1,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","delag","ok",0,0.513888,14,104,104,1,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl3tela-D1","ok",0,0.027841,14,47,104,1,8,0,0,0
"a","rabinizer4","ok",0,0.353429,2,2,3,1,2,0,0,0
"a","ltl2tgba-DG","ok",0,0.00569865,2,2,3,1,2,0,0,0
"a","delag","ok",0,0.349447,2,3,3,1,2,0,0,0
"a","ltl3tela-D1","ok",0,0.0047963,2,2,3,0,2,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","rabinizer4","ok",0,0.769795,13,124,160,12,4,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl2tgba-DG","ok",0,0.0107654,13,64,160,4,4,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","delag","ok",0,0.847189,37,470,470,4,12,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl3tela-D1","ok",0,0.119489,13,64,160,3,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","rabinizer4","ok",0,0.538015,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl2tgba-DG","ok",0,0.0130737,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","delag","ok",0,0.58178,6,37,37,2,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl3tela-D1","ok",0,0.0203998,5,12,30,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","rabinizer4","ok",0,0.483177,4,7,14,2,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl2tgba-DG","ok",0,0.00634409,4,7,14,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","delag","ok",0,0.445089,4,14,14,1,4,0,0,0
"(a) | (X((a) | (X((a) M (b)))))","ltl3tela-D1","ok",0,0.0193107,4,7,14,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","rabinizer4","ok",0,0.482996,4,7,25,2,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl2tgba-DG","ok",0,0.0136898,4,7,25,1,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","delag","ok",0,0.497727,4,25,25,2,4,0,0,0
"((a) & ((b) | (G(!(c))))) | ((!(a)) & (!(b)) & (F(c)))","ltl3tela-D1","ok",0,0.0228808,4,7,25,1,4,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","rabinizer4","ok",0,0.665679,7,16,92,2,7,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl2tgba-DG","ok",0,0.0187924,5,9,33,1,5,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","delag","ok",0,0.679288,10,140,140,3,10,0,0,0
"((!(a)) & (X(!(b)))) | ((a) & (X(b))) | (((c) | ((!(a)) R (d))) R ((!(a)) U (c)))","ltl3tela-D1","ok",0,0.0183565,5,9,33,1,5,0,0,0
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","rabinizer4","ok",0,0.643233,5,13,40,2,5,0,0,1
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl2tgba-DG","ok",0,0.00864672,5,13,40,2,5,0,0,1
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","delag","ok",0,0.662095,5,40,40,2,5,0,0,1
"((F(b)) | (((a) | (X(b))) & (F(a)))) R (F(c))","ltl3tela-D1","ok",0,0.0574823,5,13,40,1,5,0,0,1
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","rabinizer4","ok",0,0.635707,4,10,32,5,4,0,0,1
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl2tgba-DG","ok",0,0.025991,9,29,72,4,5,0,0,1
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","delag","ok",0,0.51722,4,32,32,6,4,0,0,1
"(a) | (G((F(G(a))) U (((b) | (G(c))) R (c))))","ltl3tela-D1","ok",0,0.0730692,5,15,40,3,4,0,0,1
"F((!(a)) | (G(a)))","rabinizer4","ok",0,0.377289,1,1,2,1,1,0,0,1
"F((!(a)) | (G(a)))","ltl2tgba-DG","ok",0,0.00643209,1,1,1,1,1,0,0,1
"F((!(a)) | (G(a)))","delag","ok",0,0.312364,1,1,2,0,1,0,0,1
"F((!(a)) | (G(a)))","ltl3tela-D1","ok",0,0.004328,1,1,1,0,1,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","rabinizer4","ok",0,0.421447,5,11,80,2,5,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","ltl2tgba-DG","ok",0,0.00694821,5,11,80,1,5,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","delag","ok",0,0.402951,5,80,80,2,5,0,0,1
"(F(a)) | (X((b) & ((c) R (d))))","ltl3tela-D1","ok",0,0.00820744,5,11,80,1,5,0,0,1
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","rabinizer4","ok",0,0.647675,6,14,81,4,6,0,0,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl2tgba-DG","ok",0,0.0090301,6,14,81,1,6,0,0,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","delag","ok",0,0.553448,6,81,81,2,6,0,0,0
"((a) & (!(b)) & ((b) | (((!(b)) & (!(c))) M (F(!(d)))))) | ((!(a)) & ((b) | ((!(b)) & (((b) | (c)) W (G(d))))))","ltl3tela-D1","ok",0,0.0162749,6,14,81,1,6,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","rabinizer4","ok",0,0.706991,4,9,15,2,4,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl2tgba-DG","ok",0,0.0116462,4,9,15,1,4,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","delag","ok",0,0.47602,4,15,15,1,4,0,0,0
"(a) | ((b) U (X((b) U ((!(a)) & (!(b))))))","ltl3tela-D1","ok",0,0.0064795,4,9,15,1,4,0,0,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","rabinizer4","ok",0,0.621625,8,18,48,2,8,0,0,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl2tgba-DG","ok",0,0.00846007,6,13,38,2,6,0,0,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","delag","ok",0,0.724247,6,38,38,2,6,0,0,0
"(X(a)) R (((b) & (X(F(c)))) | ((!(b)) & (X(G(!(c))))))","ltl3tela-D1","ok",0,0.0501425,6,13,38,1,6,0,0,0
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","rabinizer4","ok",0,0.688837,17,69,136,4,14,0,0,1
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl2tgba-DG","ok",0,0.0115583,18,75,144,2,15,0,0,1
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","delag","ok",0,0.713743,20,160,160,4,17,0,0,1
"(F((a) & (F(((a) & (G(!(b)))) | ((!(a)) & (F(b))))))) | ((b) & (F(c))) | ((!(b)) & (G(!(c))))","ltl3tela-D1","ok",0,0.0312573,14,54,112,1,11,0,0,1
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","rabinizer4","ok",0,0.756132,27,130,188,8,17,0,0,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl2tgba-DG","ok",0,0.0157258,20,71,130,1,15,0,0,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","delag","ok",0,0.970169,49,351,351,6,25,0,0,0
"(a) U ((((b) W (a)) W (((F(c)) & (X(G(!(a))))) | ((G(!(c))) & (X(F(a)))))) U (X(a)))","ltl3tela-D1","ok",0,0.810581,20,71,130,1,15,0,0,0
"F((a) & (G(b)))","rabinizer4","ok",0,0.425941,2,4,8,1,1,0,0,1
"F((a) & (G(b)))","ltl2tgba-DG","ok",0,0.0197979,2,4,8,2,1,0,0,1
"F((a) & (G(b)))","delag","ok",0,0.591756,2,8,8,2,1,0,0,1
"F((a) & (G(b)))","ltl3tela-D1","ok",0,0.0206777,2,4,8,1,1,0,0,1
"(a) M (((b) & (c)) W ((a) | (!(c))))","rabinizer4","ok",0,0.532561,2,3,15,1,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl2tgba-DG","ok",0,0.0130653,2,3,15,1,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","delag","ok",0,0.592345,2,15,15,2,2,0,0,0
"(a) M (((b) & (c)) W ((a) | (!(c))))","ltl3tela-D1","ok",0,0.00645466,2,3,15,1,2,0,0,0
"X(F((a) W (b)))","rabinizer4","ok",0,0.432672,3,5,12,1,3,0,0,1
"X(F((a) W (b)))","ltl2tgba-DG","ok",0,0.00745384,4,8,16,2,3,0,0,1
"X(F((a) W (b)))","delag","ok",0,0.407831,3,12,12,2,3,0,0,1
"X(F((a) W (b)))","ltl3tela-D1","ok",0,0.0193664,3,5,12,1,3,0,0,1
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","rabinizer4","ok",0,0.618404,5,8,34,2,5,0,0,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl2tgba-DG","ok",0,0.00916527,5,8,34,1,5,0,0,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","delag","ok",0,0.663573,6,42,42,3,5,0,0,0
"(a) & (b) & (((a) M (G(F(c)))) U (X(!(a))))","ltl3tela-D1","ok",0,0.0766339,5,8,34,1,5,0,0,0
"X(X((G(F(a))) R (b)))","rabinizer4","ok",0,0.69412,5,7,18,2,5,0,0,0
"X(X((G(F(a))) R (b)))","ltl2tgba-DG","ok",0,0.00780993,5,7,18,2,5,0,0,0
"X(X((G(F(a))) R (b)))","delag","ok",0,0.693802,5,18,18,2,5,0,0,0
"X(X((G(F(a))) R (b)))","ltl3tela-D1","ok",0,0.0338559,5,7,18,1,5,0,0,0
"(((a) M (b)) U (X(c))) W (G(d))","rabinizer4","ok",0,0.678487,15,109,162,5,2,0,0,0
"(((a) M (b)) U (X(c))) W (G(d))","ltl2tgba-DG","ok",0,0.0149097,62,488,798,6,17,0,0,0
"(((a) M (b)) U (X(c))) W (G(d))","delag","ok",0,0.85117,19,236,236,8,2,0,0,0
"(((a) M (b)) U (X(c))) W (G(d))","ltl3tela-D1","ok",0,0.0748767,12,74,192,2,3,0,0,1
"((G(a)) M (F(b))) R ((c) | (F(d)))","rabinizer4","ok",0,0.556852,9,44,144,5,4,0,0,1
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl2tgba-DG","ok",0,0.0101078,7,28,112,3,3,0,0,1
"((G(a)) M (F(b))) R ((c) | (F(d)))","delag","ok",0,0.721118,9,144,144,6,3,0,0,1
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl3tela-D1","ok",0,0.0403409,7,28,112,3,3,0,0,1
"F((a) | ((b) & ((!(b)) | (c) | ((d) R (a)))))","rabinizer4","ok",0,0.640601,2,3,32,1,2,0,0,1
