"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl3tela-D1","ok",0,0.0196107,9,36,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","delag","ok",0,0.614983,9,36,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","rabinizer4","ok",0,0.595776,9,36,144,1,9,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl2tgba-DG","ok",0,0.0155666,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl3tela-D1","ok",0,0.0672096,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","delag","ok",0,0.792568,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","rabinizer4","ok",0,0.759038,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl2tgba-DG","ok",0,0.0410292,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl3tela-D1","ok",0,0.26025,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","delag","ok",0,0.974036,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","rabinizer4","ok",0,0.995277,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","ltl2tgba-DG","ok",0,0.21278,36,441,36864,1,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","ltl3tela-D1","ok",0,1.05035,36,441,36864,1,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","delag","ok",0,1.83856,36,441,36864,1,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","rabinizer4","ok",0,1.28959,36,441,36864,1,36,0,0,1
"(F(p)) & (F(q))","ltl2tgba-DG","ok",0,0.00779166,4,9,16,1,4,0,0,1
"(F(p)) & (F(q))","ltl3tela-D1","ok",0,0.00770045,4,9,16,1,4,0,0,1
"(F(p)) & (F(q))","delag","ok",0,0.611617,4,9,16,1,4,0,0,1
"(F(p)) & (F(q))","rabinizer4","ok",0,0.548717,4,9,16,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","ltl2tgba-DG","ok",0,0.00840601,9,25,36,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","ltl3tela-D1","ok",0,0.0108978,9,25,36,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","delag","ok",0,0.583921,9,25,36,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","rabinizer4","ok",0,0.595802,9,25,36,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","ltl2tgba-DG","ok",0,0.0103624,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","ltl3tela-D1","ok",0,0.016949,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","delag","ok",0,0.664787,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","rabinizer4","ok",0,0.742049,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","ltl2tgba-DG","ok",0,0.0090823,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","ltl3tela-D1","ok",0,0.0228945,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","delag","ok",0,0.74013,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","rabinizer4","ok",0,0.919803,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","ltl2tgba-DG","ok",0,0.0113897,36,121,144,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","ltl3tela-D1","ok",0,0.0449993,36,121,144,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","delag","ok",0,0.727986,36,121,144,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","rabinizer4","ok",0,0.866012,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","ltl2tgba-DG","ok",0,0.0096824,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","ltl3tela-D1","ok",0,0.0182113,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","delag","ok",0,0.683369,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","rabinizer4","ok",0,0.725003,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","ltl2tgba-DG","ok",0,0.00994807,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","ltl3tela-D1","ok",0,0.0261182,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","delag","ok",0,0.719181,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","rabinizer4","ok",0,0.862227,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","ltl2tgba-DG","ok",0,0.0140025,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","ltl3tela-D1","ok",0,0.0419676,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","delag","ok",0,0.702712,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","rabinizer4","ok",0,0.965634,36,121,144,1,4,0,0,1
"G(!(p0))","ltl2tgba-DG","ok",0,0.00837375,1,1,1,1,1,0,0,0
"G(!(p0))","ltl3tela-D1","ok",0,0.00412413,1,1,1,0,1,0,0,0
"G(!(p0))","delag","ok",0,0.525487,1,1,1,1,1,0,0,0
"G(!(p0))","rabinizer4","ok",0,0.596926,1,1,1,1,1,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","ltl2tgba-DG","ok",0,0.00713586,3,5,10,1,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","ltl3tela-D1","ok",0,0.00648043,3,5,10,0,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","delag","ok",0,0.577735,3,5,10,1,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","rabinizer4","ok",0,0.650109,3,5,10,1,3,0,0,0
"G((p0) -> (G(!(p1))))","ltl2tgba-DG","ok",0,0.00756613,2,3,5,1,2,0,0,0
"G((p0) -> (G(!(p1))))","ltl3tela-D1","ok",0,0.00643234,2,3,5,0,2,0,0,0
"G((p0) -> (G(!(p1))))","delag","ok",0,0.586895,2,3,5,1,2,0,0,0
"G((p0) -> (G(!(p1))))","rabinizer4","ok",0,0.631514,2,3,5,1,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","ltl2tgba-DG","ok",0,0.012135,3,7,20,1,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","ltl3tela-D1","ok",0,0.013729,3,7,20,0,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","delag","ok",0,1.00738,3,7,20,1,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","rabinizer4","ok",0,0.97061,3,7,20,1,2,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","ltl2tgba-DG","ok",0,0.00780725,2,4,13,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","ltl3tela-D1","ok",0,0.00743323,2,4,13,0,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","delag","ok",0,0.725036,2,4,13,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","rabinizer4","ok",0,0.942053,2,4,13,1,1,0,0,0
"F(p0)","ltl2tgba-DG","ok",0,0.0072516,2,3,4,1,2,0,0,1
"F(p0)","ltl3tela-D1","ok",0,0.00404037,2,3,4,1,2,0,0,1
"F(p0)","delag","ok",0,0.53287,2,3,4,1,2,0,0,1
"F(p0)","rabinizer4","ok",0,0.586263,2,3,4,1,2,0,0,1
"(!(p0)) W ((!(p0)) & (p1))","ltl2tgba-DG","ok",0,0.00882608,2,3,6,1,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","ltl3tela-D1","ok",0,0.00528099,2,3,6,0,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","delag","ok",0,0.554264,2,3,6,1,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","rabinizer4","ok",0,0.624184,2,3,6,1,2,0,0,0
"(G(!(p0))) | (F((p0) & (F(p1))))","ltl2tgba-DG","ok",0,0.0078774,3,6,12,1,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","ltl3tela-D1","ok",0,0.00999055,3,6,12,1,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","delag","ok",0,0.585715,3,6,12,1,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","rabinizer4","ok",0,0.667489,3,6,12,1,3,0,0,1
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","ltl2tgba-DG","ok",0,0.00839079,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","ltl3tela-D1","ok",0,0.00839387,2,4,12,0,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","delag","ok",0,0.757261,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","rabinizer4","ok",0,0.977392,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","ltl2tgba-DG","ok",0,0.0075366,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","ltl3tela-D1","ok",0,0.00921995,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","delag","ok",0,1.01338,2,7,12,2,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","rabinizer4","ok",0,0.951111,2,4,12,1,1,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","ltl2tgba-DG","ok",0,0.00817139,5,9,9,1,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","ltl3tela-D1","ok",0,0.0123326,5,9,9,0,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","delag","ok",0,0.727288,5,9,9,1,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","rabinizer4","ok",0,0.75848,5,9,9,1,5,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","ltl2tgba-DG","ok",0,0.00813527,7,17,26,1,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","ltl3tela-D1","ok",0,0.0173334,7,17,26,0,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","delag","ok",0,0.744751,7,17,26,1,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","rabinizer4","ok",0,0.951146,7,17,26,1,7,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","ltl2tgba-DG","ok",0,0.00892015,6,12,22,1,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","ltl3tela-D1","ok",0,0.0143328,6,12,22,0,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","delag","ok",0,0.944774,6,12,22,1,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","rabinizer4","ok",0,0.960251,6,12,22,1,6,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","ltl2tgba-DG","ok",0,0.00925492,7,19,52,1,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","ltl3tela-D1","ok",0,0.0755698,7,19,52,0,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","delag","ok",0,1.76782,7,19,52,1,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","rabinizer4","ok",0,1.10532,7,19,52,1,2,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","ltl2tgba-DG","ok",0,0.010539,6,17,46,1,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","ltl3tela-D1","ok",0,0.0611235,6,17,46,0,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","delag","ok",0,1.74339,6,17,46,1,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","rabinizer4","ok",0,1.18323,6,17,46,1,1,0,0,0
"G(p0)","ltl2tgba-DG","ok",0,0.00789917,1,1,1,1,1,0,0,0
"G(p0)","ltl3tela-D1","ok",0,0.004044,1,1,1,0,1,0,0,0
"G(p0)","delag","ok",0,0.519605,1,1,1,1,1,0,0,0
"G(p0)","rabinizer4","ok",0,0.624801,1,1,1,1,1,0,0,0
"(F(p0)) -> ((p1) U (p0))","ltl2tgba-DG","ok",0,0.00669074,3,5,10,1,3,0,0,0
