"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","rabinizer4","ok",0,0.66037,2,5,12,3,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","ltl2tgba-DG","ok",0,0.00784511,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","delag","ok",0,0.546871,2,12,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) W ((!(p1)) & (p2))))","ltl3tela-D1","ok",0,0.0231304,2,4,12,0,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","rabinizer4","ok",0,0.628362,2,4,12,2,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","ltl2tgba-DG","ok",0,0.00711105,2,4,12,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","delag","ok",0,0.667471,2,12,12,4,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p1)) U ((!(p1)) & (p2))))","ltl3tela-D1","ok",0,0.00965919,2,4,12,1,1,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","rabinizer4","ok",0,0.681869,5,9,9,3,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","ltl2tgba-DG","ok",0,0.00676848,5,9,9,1,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","delag","ok",0,0.569165,5,9,9,1,5,0,0,0
"(!(p0)) W ((p0) W ((!(p0)) W ((p0) W (G(!(p0))))))","ltl3tela-D1","ok",0,0.00964012,5,9,9,0,5,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","rabinizer4","ok",0,0.699875,7,17,26,1,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","ltl2tgba-DG","ok",0,0.00795859,7,17,26,1,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","delag","ok",0,0.571007,7,26,26,2,7,0,0,0
"(F(p0)) -> (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | (((!(p0)) & (!(p1))) U ((p0) | (((!(p0)) & (p1)) U ((p0) | ((!(p1)) U (p0))))))))))","ltl3tela-D1","ok",0,0.0284662,7,17,26,0,7,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","rabinizer4","ok",0,0.668374,6,12,22,3,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","ltl2tgba-DG","ok",0,0.0080424,6,12,22,1,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","delag","ok",0,0.800534,6,22,22,3,6,0,0,0
"(F(p0)) -> ((!(p0)) U ((p0) & ((!(p1)) W ((p1) W ((!(p1)) W ((p1) W (G(!(p1)))))))))","ltl3tela-D1","ok",0,0.0468292,6,12,22,0,6,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","rabinizer4","ok",0,0.809322,22,75,132,3,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","ltl2tgba-DG","ok",0,0.00880591,7,19,52,1,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","delag","ok",0,1.115,25,196,196,5,2,0,0,0
"G(((p0) & (F(p1))) -> (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | (((!(p1)) & (!(p2))) U ((p1) | (((!(p1)) & (p2)) U ((p1) | ((!(p2)) U (p1)))))))))))","ltl3tela-D1","ok",0,0.0686597,7,19,52,0,2,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","rabinizer4","ok",0,0.829539,11,48,80,4,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","ltl2tgba-DG","ok",0,0.0297226,6,17,46,1,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","delag","ok",0,1.3241,31,242,242,25,1,0,0,0
"G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2)))))))))))","ltl3tela-D1","ok",0,0.0478829,6,17,46,0,1,0,0,0
"G(p0)","rabinizer4","ok",0,0.420152,1,1,1,1,1,0,0,0
"G(p0)","ltl2tgba-DG","ok",0,0.013011,1,1,1,1,1,0,0,0
"G(p0)","delag","ok",0,0.436885,1,1,1,1,1,0,0,0
"G(p0)","ltl3tela-D1","ok",0,0.00351937,1,1,1,0,1,0,0,0
"(F(p0)) -> ((p1) U (p0))","rabinizer4","ok",0,0.476224,3,5,10,1,3,0,0,0
"(F(p0)) -> ((p1) U (p0))","ltl2tgba-DG","ok",0,0.0176613,3,5,10,1,3,0,0,0
"(F(p0)) -> ((p1) U (p0))","delag","ok",0,0.411687,3,10,10,2,3,0,0,0
"(F(p0)) -> ((p1) U (p0))","ltl3tela-D1","ok",0,0.00569015,3,5,10,0,3,0,0,0
"G((p0) -> (G(p1)))","rabinizer4","ok",0,0.47275,2,3,5,1,2,0,0,0
"G((p0) -> (G(p1)))","ltl2tgba-DG","ok",0,0.013991,2,3,5,1,2,0,0,0
"G((p0) -> (G(p1)))","delag","ok",0,0.415346,2,5,5,1,2,0,0,0
"G((p0) -> (G(p1)))","ltl3tela-D1","ok",0,0.00546332,2,3,5,0,2,0,0,0
