"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba","ok",0,0.0105101,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3tela","ok",0,0.0367035,11,31,128,1,11,0,0,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3ba","ok",0,0.00907314,5,17,33,2,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba-G","ok",0,0.00957919,5,16,31,1,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba","ok",0,0.00891574,5,16,31,1,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3tela","ok",0,0.0388292,5,16,31,1,2,3,1,0
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl3ba","ok",0,0.00873822,7,14,64,2,7,3,1,0
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl2tgba-G","ok",0,0.00890682,7,14,61,1,7,3,1,0
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl2tgba","ok",0,0.00875465,7,14,61,1,7,3,1,0
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl3tela","ok",0,0.0166666,6,15,48,2,5,0,0,1
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl3ba","ok",0,0.00976191,4,8,15,1,4,1,1,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl2tgba-G","ok",0,0.0067509,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl2tgba","ok",0,0.00782097,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl3tela","ok",0,0.019719,2,3,4,1,2,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl3ba","ok",0,0.0104293,10,39,133,2,9,4,1,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl2tgba-G","ok",0,0.0107243,10,35,125,1,9,3,1,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl2tgba","ok",0,0.0104032,10,35,125,1,9,3,1,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl3tela","ok",0,0.0411426,10,35,125,1,9,3,1,0
"G(F(a))","ltl3ba","ok",0,0.0104429,1,2,2,1,1,0,0,1
"G(F(a))","ltl2tgba-G","ok",0,0.00591351,1,2,2,1,1,0,0,1
"G(F(a))","ltl2tgba","ok",0,0.00644031,1,2,2,1,1,0,0,1
"G(F(a))","ltl3tela","ok",0,0.00492248,1,2,2,1,1,0,0,1
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl3ba","ok",0,0.0099475,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl2tgba-G","ok",0,0.00694607,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl2tgba","ok",0,0.00760582,4,7,13,1,4,0,0,0
